University 1,University 2,Pairs,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
Carnegie Mellon University,NTU,CMU-NTU,0.32048875,0.3306984,0.46760207,0.6017734,0.4844574,0.37774754,0.852988376,0.838568469
Carnegie Mellon University,University of Waterloo,CMU-UWaterloo,0.33645105,0.2987682,0.34925583,0.592726,0.41392913,0.37876388,0.863686654,0.851962248
Carnegie Mellon University,University of Hong Kong,CMU-HKU,0.46408358,0.5049519,0.6490666,0.71826106,0.67671937,0.5514031,0.847069875,0.884333346
Georgia Institute of Technology,Harvard University,Georgia Tech-HU,0.34327817,0.4385048,0.5469211,0.6687934,0.573557,0.41615117,0.836890357,0.852811141
Georgia Institute of Technology,Massachusetts Institute of Technology,Georgia Tech-MIT,0.3254224,0.3920004,0.45696712,0.5958603,0.49064982,0.40736964,0.810960078,0.851327654
Georgia Institute of Technology,Yale University,Georgia Tech-YU,0.27978066,0.36055154,0.42729676,0.62420917,0.49738082,0.38982636,0.773821408,0.838000507
Georgia Institute of Technology,University of Toronto,Georgia Tech-U of T,0.28419074,0.41198382,0.5321251,0.6493389,0.6099637,0.43719092,0.826773097,0.852603661
Georgia Institute of Technology,University of Illinois,Georgia Tech-UIUC,0.3314233,0.43001306,0.5162421,0.65804434,0.59170043,0.43014947,0.839984059,0.854495453
Georgia Institute of Technology,Carnegie Mellon University,Georgia Tech-CMU,0.31267995,0.33818722,0.42054924,0.5955542,0.5402775,0.38504815,0.821797434,0.844737452
Georgia Institute of Technology,University of Cambridge,Georgia Tech-UCam,0.28206852,0.4499847,0.46414936,0.6564694,0.49777004,0.3757936,0.851081215,0.850640149
Georgia Institute of Technology,University of Oxford,Georgia Tech-Oxon,0.24714106,0.36937118,0.43563437,0.62761337,0.4948407,0.37960505,0.850198227,0.841309417
Georgia Institute of Technology,University College London,Georgia Tech-UCL,0.34932274,0.48188663,0.5683285,0.66651803,0.5526396,0.47212258,0.8868934,0.867016345
Georgia Institute of Technology,EPFL,Georgia Tech-EPFL,0.29690406,0.3388446,0.46312702,0.5806541,0.4983296,0.36389256,0.822171653,0.84744739
Georgia Institute of Technology,NTU,Georgia Tech-NTU,0.26550257,0.4156538,0.47943258,0.6399622,0.55646014,0.41747636,0.900680728,0.858628555
Georgia Institute of Technology,University of Waterloo,Georgia Tech-UWaterloo,0.26951846,0.3241949,0.38716546,0.59707737,0.44275606,0.319023,0.877495162,0.835620984
Georgia Institute of Technology,University of Hong Kong,Georgia Tech-HKU,0.2721931,0.4183526,0.5427043,0.6451263,0.59539384,0.42687604,0.844972422,0.853889164
University of Cambridge,Harvard University,UCam-HU,0.47633842,0.56464654,0.5746806,0.69681007,0.6273977,0.55700105,0.84150716,0.879119891
University of Cambridge,Massachusetts Institute of Technology,UCam-MIT,0.4321997,0.44811702,0.48757914,0.6464893,0.53856915,0.46491253,0.815925815,0.860511331
University of Cambridge,Yale University,UCam-YU,0.4779756,0.53130513,0.4996205,0.7377606,0.5274554,0.47972444,0.819526717,0.85073867
University of Cambridge,University of Toronto,UCam-U of T,0.49560833,0.50468206,0.5568918,0.6318193,0.6138118,0.4999939,0.821423113,0.875630063
University of Cambridge,University of Illinois,UCam-UIUC,0.4037538,0.45210788,0.45696473,0.6563723,0.51400095,0.4482201,0.820681155,0.845842038
University of Cambridge,Carnegie Mellon University,UCam-CMU,0.3995348,0.3884274,0.4398285,0.60722333,0.5552124,0.4374002,0.791988252,0.850187657
University of Cambridge,Georgia Institute of Technology,UCam-Georgia Tech,0.38429365,0.3693538,0.45668963,0.6205633,0.5362616,0.41334984,0.829426477,0.843581776
University of Cambridge,University of Oxford,UCam-Oxon,0.60754436,0.6694524,0.7093937,0.8483111,0.75516176,0.6988907,0.9100374,0.897208963
University of Cambridge,University College London,UCam-UCL,0.5256673,0.53773785,0.566608,0.72369206,0.6179783,0.5653242,0.868209729,0.878617377
University of Cambridge,EPFL,UCam-EPFL,0.47186977,0.43521503,0.4991721,0.66327614,0.5591251,0.48501575,0.816782394,0.855472558
University of Cambridge,NTU,UCam-NTU,0.4105568,0.45161915,0.45416197,0.69570094,0.55982906,0.4339129,0.869634189,0.854610725
University of Cambridge,University of Waterloo,UCam-UWaterloo,0.5077884,0.46296203,0.53235734,0.6649601,0.57408273,0.4899925,0.87258742,0.860457315
University of Cambridge,University of Hong Kong,UCam-HKU,0.47296032,0.54607135,0.50222737,0.71727425,0.60097986,0.5058244,0.841120746,0.867972351
University of Oxford,Harvard University,Oxon-HU,0.42213693,0.52802837,0.58308965,0.7088165,0.6091663,0.5265474,0.838335205,0.878681185
University of Oxford,Massachusetts Institute of Technology,Oxon-MIT,0.46976754,0.44529638,0.54149914,0.6695326,0.56460196,0.4978912,0.804741573,0.870964344
University of Oxford,Yale University,Oxon-YU,0.4777892,0.56490904,0.5178252,0.7130655,0.51118505,0.5215518,0.824691566,0.871601098
University of Oxford,University of Toronto,Oxon-U of T,0.45679775,0.5370165,0.5999157,0.68670887,0.6245758,0.56997204,0.82092492,0.87855884
University of Oxford,University of Illinois,Oxon-UIUC,0.49001086,0.52427644,0.57587355,0.6923211,0.6050663,0.5415756,0.844526585,0.875442726
University of Oxford,Carnegie Mellon University,Oxon-CMU,0.42195678,0.4170351,0.518643,0.6556036,0.63974184,0.5076566,0.798806658,0.869555687
University of Oxford,Georgia Institute of Technology,Oxon-Georgia Tech,0.37424552,0.3795349,0.49837267,0.6322222,0.5652581,0.44073054,0.830793681,0.849774192
University of Oxford,University of Cambridge,Oxon-UCam,0.5364311,0.6841965,0.6450375,0.8048921,0.7111929,0.6017433,0.915821852,0.90320064
University of Oxford,University College London,Oxon-UCL,0.57857764,0.5642823,0.6602454,0.7344719,0.6797649,0.62060714,0.880759239,0.900954895
University of Oxford,EPFL,Oxon-EPFL,0.49540773,0.4779213,0.5667603,0.6820946,0.60531557,0.5547055,0.817862974,0.86833545
University of Oxford,NTU,Oxon-NTU,0.5717343,0.57079333,0.5857284,0.7510439,0.6177915,0.5898428,0.889694635,0.882552436
University of Oxford,University of Waterloo,Oxon-UWaterloo,0.4365973,0.394136,0.4765505,0.63758683,0.5771731,0.44177932,0.866186591,0.854594296
University of Oxford,University of Hong Kong,Oxon-HKU,0.56645995,0.63142043,0.67460984,0.7280388,0.7073808,0.64588755,0.861408826,0.896461293
University College London,Harvard University,UCL-HU,0.45453772,0.51351327,0.546228,0.66350025,0.52854383,0.47265902,0.856236368,0.866643331
University College London,Massachusetts Institute of Technology,UCL-MIT,0.49222794,0.46952626,0.5128549,0.650691,0.4973235,0.4624946,0.849701444,0.861281058
University College London,Yale University,UCL-YU,0.37017354,0.37367103,0.41573125,0.6225446,0.4248944,0.39380282,0.788363119,0.841857758
