Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
EPFL-UEdin,0.4784,JHU-UEdin,0.4487,UIUC-CMU,0.4805,HKU-CMU,0.6408,EPFL-UEdin,0.5431,JHU-CMU,0.4514,EPFL-JHU,0.8473,CMU-JHU,0.8636
UIUC-HKU,0.4756,JHU-UCam,0.4464,Georgia Tech-EPFL,0.479,MON-UIUC,0.6399,EPFL-HKU,0.5402,HKU-UIUC,0.4486,CMU-UCL,0.8471,EPFL-UEdin,0.8634
HKU-CMU,0.4722,Georgia Tech-UCL,0.4458,JHU-CMU,0.4785,CMU-UCL,0.6389,CMU-Georgia Tech,0.5366,MON-UCam,0.4472,UCL-JHU,0.8456,HKU-JHU,0.8613
UCL-UCam,0.4716,UCL-EPFL,0.4403,EPFL-HKU,0.4778,EPFL-HKU,0.6358,UCL-CMU,0.5345,HKU-UCL,0.4442,JHU-HKU,0.8454,HKU-EPFL,0.8609
JHU-UCam,0.4712,CMU-UCam,0.4367,MON-CMU,0.4773,MON-JHU,0.634,EPFL-UCam,0.5234,MON-UEdin,0.4406,EPFL-HKU,0.8418,Georgia Tech-CMU,0.8564
UCL-EPFL,0.4704,MON-UCam,0.4332,UCL-Oxon,0.4761,MON-UEdin,0.633,UEdin-UIUC,0.5233,MON-HKU,0.4383,CMU-Oxon,0.8391,Georgia Tech-UEdin,0.8545
MON-CMU,0.4663,Georgia Tech-UEdin,0.4328,CMU-EPFL,0.4752,EPFL-UIUC,0.6316,UCL-UEdin,0.5213,JHU-UEdin,0.4382,Georgia Tech-CMU,0.8386,UCam-Georgia Tech,0.8545
Georgia Tech-CMU,0.466,HKU-MON,0.4286,Georgia Tech-JHU,0.4703,JHU-UCam,0.6308,UEdin-UCL,0.5191,Georgia Tech-UCam,0.4381,CMU-EPFL,0.8381,CMU-UCL,0.852
MON-EPFL,0.4608,HKU-EPFL,0.428,MON-UCam,0.4691,MON-CMU,0.6291,CMU-HKU,0.5181,UCam-CMU,0.4373,JHU-UCam,0.8376,EPFL-UCam,0.8518
CMU-MON,0.4588,CMU-UCL,0.4259,HKU-UIUC,0.4667,UCL-CMU,0.6281,Georgia Tech-UCL,0.516,CMU-EPFL,0.4372,UEdin-UIUC,0.8347,UCL-CMU,0.8501
CMU-UEdin,0.4546,HKU-UEdin,0.4221,JHU-UIUC,0.4655,CMU-UIUC,0.6278,HKU-JHU,0.5155,EPFL-HKU,0.435,Georgia Tech-JHU,0.8347,UIUC-CMU,0.8491
HKU-UEdin,0.4522,CMU-MON,0.4201,CMU-UEdin,0.465,MON-HKU,0.6246,Georgia Tech-UIUC,0.5155,MON-EPFL,0.4298,JHU-Oxon,0.8344,UIUC-UCam,0.8489
CMU-UCam,0.4478,UEdin-UCL,0.417,HKU-EPFL,0.4521,UCL-JHU,0.6179,HKU-UIUC,0.5155,UCam-HKU,0.4298,MON-EPFL,0.8316,MON-UCam,0.8485
EPFL-Georgia Tech,0.4407,UIUC-HKU,0.4143,Georgia Tech-UEdin,0.4521,UIUC-CMU,0.6157,UCL-UCam,0.5114,CMU-HKU,0.4228,UEdin-HKU,0.8311,UEdin-UCL,0.8473
CMU-Georgia Tech,0.4403,UEdin-UIUC,0.4119,UIUC-UCam,0.4511,CMU-UEdin,0.6064,HKU-UCL,0.5086,CMU-UCam,0.4224,UIUC-UCam,0.8295,UCL-Oxon,0.847
Georgia Tech-UCam,0.4347,EPFL-UCam,0.4112,HKU-MON,0.4506,MON-EPFL,0.6055,UCam-Georgia Tech,0.5041,UCL-Oxon,0.4117,UIUC-CMU,0.8276,UEdin-UIUC,0.8465
UCam-HKU,0.4338,UCL-UCam,0.404,HKU-UCL,0.4465,CMU-HKU,0.6025,CMU-UEdin,0.5026,CMU-UCL,0.4102,CMU-JHU,0.8275,CMU-HKU,0.8454
HKU-EPFL,0.4326,EPFL-HKU,0.4016,UCL-JHU,0.437,EPFL-MON,0.6,HKU-EPFL,0.5022,JHU-UIUC,0.4099,UCL-UCam,0.8275,UCL-UCam,0.8453
CMU-UCL,0.4323,Georgia Tech-EPFL,0.393,EPFL-CMU,0.4355,JHU-CMU,0.5976,CMU-EPFL,0.5014,Georgia Tech-UEdin,0.4081,UEdin-JHU,0.8254,Georgia Tech-UCam,0.844
EPFL-HKU,0.4253,UCam-HKU,0.3909,CMU-UCam,0.4335,JHU-UIUC,0.5959,HKU-UCam,0.501,MON-CMU,0.4078,UEdin-Oxon,0.8252,UCam-JHU,0.8438
HKU-UCam,0.4214,UCL-Oxon,0.3905,UEdin-UIUC,0.4267,UIUC-UCam,0.5902,CMU-MON,0.4999,CMU-Georgia Tech,0.4078,JHU-UIUC,0.8249,CMU-Georgia Tech,0.8437
UCam-EPFL,0.421,UEdin-CMU,0.3901,UCam-EPFL,0.426,CMU-EPFL,0.5897,Georgia Tech-UCam,0.4972,UCL-JHU,0.4059,EPFL-UCam,0.8241,UEdin-Georgia Tech,0.8427
Oxon-MON,0.4201,HKU-UCam,0.3896,UCL-UCam,0.4223,HKU-UCam,0.5651,UEdin-HKU,0.4968,MON-UIUC,0.4048,JHU-UEdin,0.8215,UCam-EPFL,0.8407
Georgia Tech-EPFL,0.42,UCam-EPFL,0.389,UEdin-Georgia Tech,0.4216,UEdin-MON,0.5614,CMU-UCam,0.4967,UEdin-UCL,0.4046,EPFL-MON,0.8185,HKU-UEdin,0.8407
Georgia Tech-UEdin,0.4179,UIUC-UCam,0.3887,Oxon-Georgia Tech,0.4194,UCL-Oxon,0.561,UCL-JHU,0.4936,CMU-UEdin,0.3997,Georgia Tech-UCam,0.8115,CMU-UEdin,0.84
UIUC-UCam,0.415,JHU-HKU,0.3855,EPFL-UCam,0.4186,UEdin-Oxon,0.5589,UEdin-EPFL,0.4931,UCam-MON,0.3996,HKU-JHU,0.8075,CMU-MON,0.8393
CMU-Oxon,0.4127,JHU-UIUC,0.3816,HKU-CMU,0.4155,Georgia Tech-UCam,0.5586,Georgia Tech-EPFL,0.4929,HKU-JHU,0.3989,UCam-EPFL,0.8068,EPFL-CMU,0.8389
EPFL-UCam,0.4098,UCam-CMU,0.3806,CMU-Oxon,0.4109,EPFL-UCam,0.5532,UEdin-JHU,0.4877,UEdin-UIUC,0.3985,JHU-MON,0.8066,UEdin-EPFL,0.8387
MON-UCam,0.4098,CMU-EPFL,0.3678,UEdin-JHU,0.4079,UCL-UCam,0.5458,HKU-UEdin,0.4673,HKU-CMU,0.3983,Oxon-JHU,0.8045,HKU-CMU,0.8382
