Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UIUC-CMU,0.4756,UCam-UIUC,0.4542,UCL-UEdin,0.4760,CMU-ICL,0.6116,UCam-HKU,0.5470,UCL-MON,0.4926,UCam-UWaterloo,0.8378,UWaterloo-JHU,0.8461
HKU-CMU,0.4720,ICL-UWaterloo,0.4528,UCam-JHU,0.4708,UCL-UCam,0.6114,JHU-UCam,0.5461,UCL-UIUC,0.4905,UWaterloo-CMU,0.8378,UCL-UCam,0.8454
UCam-CMU,0.4717,JHU-CMU,0.4511,MON-ICL,0.4673,HKU-UCam,0.6113,UCam-UCL,0.5456,UCL-UWaterloo,0.4833,CMU-UWaterloo,0.8371,ICL-UCL,0.8450
UCam-UIUC,0.4694,ICL-UCL,0.4504,MON-CMU,0.4646,MON-CMU,0.6098,JHU-UCL,0.5449,UCam-UIUC,0.4757,JHU-UCam,0.8370,UCL-UEdin,0.8445
UCL-UIUC,0.4645,UCam-UCL,0.4486,ICL-UWaterloo,0.4623,UCam-UIUC,0.6071,CMU-UCL,0.5432,ICL-UCL,0.4752,JHU-UCL,0.8355,UCam-UCL,0.8437
HKU-UCam,0.4576,UWaterloo-UEdin,0.4472,UCL-MON,0.4590,UIUC-UCam,0.6001,ICL-CMU,0.5415,UIUC-CMU,0.4724,HKU-UEdin,0.8349,ICL-UCam,0.8419
CMU-UEdin,0.4566,UCam-CMU,0.4459,UEdin-UCam,0.4522,ICL-UCam,0.5985,MON-CMU,0.5377,ICL-UWaterloo,0.4724,CMU-UEdin,0.8332,UCL-MON,0.8417
MON-ICL,0.4552,UCL-MON,0.4420,UCam-MON,0.4506,ICL-UCL,0.5930,MON-UCam,0.5371,ICL-UCam,0.4712,UWaterloo-JHU,0.8317,UCam-UIUC,0.8417
CMU-MON,0.4541,JHU-UCam,0.4399,UCam-UEdin,0.4489,MON-UCL,0.5908,UIUC-UCL,0.5344,UCam-HKU,0.4675,ICL-UCL,0.8311,JHU-CMU,0.8415
JHU-ICL,0.4534,ICL-CMU,0.4345,ICL-UCam,0.4487,UCL-HKU,0.5871,JHU-CMU,0.5342,MON-CMU,0.4665,UEdin-UCL,0.8303,MON-UCam,0.8411
UCam-HKU,0.4521,UEdin-CMU,0.4280,UCam-UIUC,0.4414,UCam-CMU,0.5868,UEdin-UCam,0.5333,UEdin-CMU,0.4658,UWaterloo-UCam,0.8277,JHU-UCam,0.8409
UCam-UCL,0.4520,UCam-MON,0.4247,UCam-CMU,0.4389,UCam-HKU,0.5861,UCam-ICL,0.5237,UCL-JHU,0.4647,UWaterloo-HKU,0.8268,UCL-UIUC,0.8408
HKU-ICL,0.4492,UCam-UEdin,0.4220,MON-UCam,0.4332,JHU-UCL,0.5838,UCam-CMU,0.5232,CMU-UWaterloo,0.4623,HKU-UCam,0.8230,UCam-HKU,0.8408
UCL-CMU,0.4422,UCL-UEdin,0.4151,ICL-UCL,0.4318,UCam-ICL,0.5764,MON-UCL,0.5221,CMU-UCam,0.4587,UEdin-HKU,0.8214,UWaterloo-CMU,0.8393
