Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
HKU-CMU,0.4383,UCL-Oxon,0.4423,UCam-YU,0.4996,UCL-U of T,0.6490,HU-Georgia Tech,0.5364,UIUC-U of T,0.4694,YU-NTU,0.8495,U of T-CMU,0.8573
UIUC-UCL,0.4374,U of T-YU,0.4404,UCam-EPFL,0.4992,CMU-UCL,0.6481,UCam-Georgia Tech,0.5363,HU-NTU,0.4686,UCL-U of T,0.8493,CMU-EPFL,0.8565
HU-UIUC,0.4368,Georgia Tech-HU,0.4385,Oxon-Georgia Tech,0.4984,HKU-EPFL,0.6480,U of T-EPFL,0.5346,EPFL-HU,0.4673,HKU-MIT,0.8487,EPFL-UWaterloo,0.8563
Oxon-UWaterloo,0.4366,HU-UCL,0.4382,UCL-UCam,0.4982,UWaterloo-HKU,0.6470,MIT-HU,0.5290,UCam-MIT,0.4649,U of T-Georgia Tech,0.8483,HU-UCL,0.8560
YU-UCL,0.4350,UCam-EPFL,0.4352,HU-UIUC,0.4976,UCam-MIT,0.6465,UCL-HU,0.5285,U of T-YU,0.4626,UCL-EPFL,0.8474,U of T-YU,0.8557
MIT-Georgia Tech,0.4326,HU-Oxon,0.4347,UIUC-MIT,0.4973,Georgia Tech-HKU,0.6451,HKU-MIT,0.5284,CMU-UCL,0.4625,CMU-HKU,0.8471,U of T-EPFL,0.8556
NTU-U of T,0.4323,MIT-Georgia Tech,0.4347,UIUC-Georgia Tech,0.4964,EPFL-Georgia Tech,0.6436,UCam-YU,0.5275,UCL-MIT,0.4625,NTU-EPFL,0.8470,UCam-EPFL,0.8555
UCam-MIT,0.4322,HU-YU,0.4341,UCL-UIUC,0.4960,HU-YU,0.6430,MIT-U of T,0.5268,UWaterloo-NTU,0.4621,NTU-U of T,0.8466,EPFL-NTU,0.8553
YU-MIT,0.4301,MIT-CMU,0.4304,HU-YU,0.4954,CMU-MIT,0.6405,EPFL-Georgia Tech,0.5256,UCL-CMU,0.4615,UCL-UCam,0.8461,HKU-Georgia Tech,0.8548
YU-U of T,0.4286,Georgia Tech-UIUC,0.4300,HKU-YU,0.4938,EPFL-UIUC,0.6403,UWaterloo-UCam,0.5254,MIT-YU,0.4607,UIUC-EPFL,0.8458,MIT-Georgia Tech,0.8546
UCL-UWaterloo,0.4277,EPFL-CMU,0.4262,HU-NTU,0.4926,Georgia Tech-NTU,0.6400,UIUC-UCL,0.5246,MIT-Georgia Tech,0.4581,HU-Oxon,0.8456,UCam-NTU,0.8546
EPFL-HKU,0.4254,HU-MIT,0.4242,UIUC-EPFL,0.4910,U of T-MIT,0.6397,CMU-HU,0.5220,MIT-Oxon,0.4541,Georgia Tech-HKU,0.8450,Oxon-UWaterloo,0.8546
NTU-MIT,0.4254,NTU-HKU,0.4209,EPFL-Oxon,0.4908,HU-CMU,0.6394,UIUC-CMU,0.5210,UIUC-Georgia Tech,0.4538,MIT-UCL,0.8446,Georgia Tech-UIUC,0.8545
EPFL-NTU,0.4235,Georgia Tech-HKU,0.4184,CMU-EPFL,0.4887,HKU-U of T,0.6381,HU-MIT,0.5187,U of T-Georgia Tech,0.4499,Oxon-UIUC,0.8445,Georgia Tech-HKU,0.8539
Oxon-HU,0.4221,Oxon-CMU,0.4170,UCam-MIT,0.4876,UCL-UIUC,0.6379,CMU-EPFL,0.5184,EPFL-CMU,0.4493,CMU-Oxon,0.8438,UWaterloo-Oxon,0.8536
Oxon-CMU,0.4220,UIUC-NTU,0.4157,UIUC-NTU,0.4852,YU-UCL,0.6377,U of T-YU,0.5180,UCam-UIUC,0.4482,MIT-NTU,0.8421,EPFL-Georgia Tech,0.8536
UWaterloo-EPFL,0.4217,Georgia Tech-NTU,0.4157,Georgia Tech-NTU,0.4794,Oxon-UWaterloo,0.6376,CMU-Georgia Tech,0.5176,UIUC-NTU,0.4482,UCam-HU,0.8415,UIUC-HU,0.8534
HKU-Georgia Tech,0.4187,NTU-U of T,0.4134,U of T-UWaterloo,0.4791,MIT-CMU,0.6331,EPFL-UIUC,0.5171,UIUC-CMU,0.4460,U of T-EPFL,0.8414,HKU-MIT,0.8533
