Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
NTU-UCL,0.483,MIT-UCL,0.4254,HKU-CMU,0.4364,UIUC-ICL,0.6223,MIT-MON,0.5039,CU-ICL,0.4694,UCL-Oxon,0.8575,UIUC-UCL,0.8623
MIT-UEdin,0.4825,MON-MIT,0.421,CU-MIT,0.4358,MON-HKU,0.6206,CMU-UIUC,0.5033,NTU-MON,0.4676,MIT-ICL,0.857,HKU-UIUC,0.8623
MIT-HKU,0.4821,Oxon-JHU,0.4207,NTU-UCL,0.4347,JHU-UIUC,0.6204,UIUC-MON,0.5024,MIT-UEdin,0.4648,HKU-UCL,0.8562,MON-MIT,0.8621
MIT-NTU,0.4813,CMU-MIT,0.4172,Oxon-UEdin,0.4324,MIT-UIUC,0.6202,Oxon-UCL,0.5001,UCL-MON,0.4632,JHU-Oxon,0.8548,JHU-UEdin,0.8621
UEdin-UCL,0.4807,CU-UCam,0.4165,JHU-ICL,0.4307,CU-ICL,0.6191,UIUC-NTU,0.4997,UEdin-Oxon,0.4619,HKU-CU,0.8539,HKU-Oxon,0.862
CMU-UCL,0.4797,UEdin-Oxon,0.4164,MIT-CU,0.4305,NTU-MON,0.6172,UIUC-CU,0.4994,JHU-UIUC,0.4617,CU-MON,0.8537,MON-CU,0.862
MIT-Oxon,0.4797,Oxon-ICL,0.4154,CMU-NTU,0.4299,UIUC-UEdin,0.6168,ICL-JHU,0.4991,UCL-CMU,0.4608,CU-UIUC,0.8536,UEdin-Oxon,0.8613
Oxon-ICL,0.4794,JHU-CMU,0.4142,ICL-MIT,0.4291,JHU-UCL,0.6165,MIT-HKU,0.4983,MIT-CMU,0.4595,CU-Oxon,0.8529,MON-JHU,0.8613
UIUC-NTU,0.477,CMU-UIUC,0.4096,CMU-MIT,0.4288,MIT-MON,0.6152,NTU-JHU,0.4977,MIT-UCL,0.4593,UCL-NTU,0.8522,Oxon-UCL,0.8608
ICL-HKU,0.4763,JHU-HKU,0.4093,CMU-UIUC,0.4287,CMU-Oxon,0.6131,ICL-MIT,0.4945,NTU-JHU,0.459,CMU-NTU,0.8522,JHU-CU,0.8602
UIUC-HKU,0.476,JHU-NTU,0.408,ICL-Oxon,0.4278,UEdin-UIUC,0.6098,HKU-JHU,0.4922,UEdin-ICL,0.458,NTU-UIUC,0.8516,NTU-MIT,0.8599
UCL-Oxon,0.4742,JHU-CU,0.4078,NTU-JHU,0.4276,UEdin-Oxon,0.6071,JHU-ICL,0.4866,CU-MIT,0.4547,UCL-UEdin,0.8509,CU-ICL,0.8599
ICL-MON,0.4715,CU-ICL,0.4067,UCL-CMU,0.4259,HKU-JHU,0.6048,Oxon-MIT,0.4866,Oxon-MIT,0.4525,CU-UCam,0.8495,UIUC-Oxon,0.8594
UCL-UEdin,0.4713,Oxon-NTU,0.4067,UIUC-Oxon,0.4256,MON-ICL,0.6041,CU-MIT,0.4865,MON-UCL,0.4517,NTU-CU,0.8475,MIT-UIUC,0.8573
JHU-HKU,0.4706,MON-CU,0.4043,CU-CMU,0.4248,ICL-Oxon,0.6038,Oxon-UEdin,0.4858,CMU-UIUC,0.4493,CMU-Oxon,0.8467,UCL-NTU,0.8572
Oxon-UCL,0.4695,CMU-NTU,0.4024,MIT-Oxon,0.4245,NTU-CMU,0.6031,UCL-UEdin,0.4842,UEdin-MIT,0.4487,NTU-ICL,0.8466,ICL-UEdin,0.8571
CMU-UIUC,0.469,Oxon-MON,0.4019,HKU-UCam,0.422,MIT-ICL,0.6021,UCL-MIT,0.484,UIUC-UCL,0.4456,UIUC-UCL,0.8459,MIT-NTU,0.857
NTU-MIT,0.469,NTU-MON,0.3999,UEdin-MON,0.4179,MON-UEdin,0.6013,ICL-UCam,0.4839,Oxon-UIUC,0.4452,CMU-UCam,0.8449,MON-ICL,0.8567
MON-HKU,0.4683,UEdin-NTU,0.3971,JHU-MIT,0.4157,ICL-MON,0.5991,UCL-MON,0.4833,CU-MON,0.4444,NTU-UCL,0.8447,MON-CMU,0.8563
HKU-JHU,0.4678,MON-ICL,0.3939,CMU-UCam,0.4136,JHU-UEdin,0.5961,UEdin-Oxon,0.4823,CMU-MIT,0.4414,CU-UEdin,0.844,UEdin-NTU,0.8553
CU-NTU,0.4673,NTU-MIT,0.3931,NTU-ICL,0.41,JHU-MIT,0.5957,NTU-ICL,0.4821,MIT-MON,0.4364,ICL-NTU,0.8427,NTU-JHU,0.8552
Oxon-UEdin,0.4633,MON-Oxon,0.3881,ICL-UEdin,0.4071,UCL-UCam,0.5941,MIT-Oxon,0.4815,UEdin-NTU,0.4329,ICL-HKU,0.8426,NTU-ICL,0.855
MON-CMU,0.4608,Oxon-MIT,0.3867,MIT-CMU,0.4059,CMU-NTU,0.5922,NTU-CU,0.4792,MIT-Oxon,0.4316,MIT-UCam,0.8413,CMU-MON,0.8546
ICL-UCam,0.4604,CMU-MON,0.3846,ICL-UCam,0.4057,NTU-CU,0.5909,CU-MON,0.4787,UEdin-CU,0.4298,ICL-MON,0.8404,JHU-UIUC,0.8543
UIUC-MON,0.4593,JHU-UIUC,0.3839,ICL-JHU,0.4054,JHU-NTU,0.5906,UEdin-MIT,0.4735,NTU-MIT,0.426,UIUC-CU,0.84,Oxon-MON,0.8543
UCL-JHU,0.458,UEdin-ICL,0.379,UEdin-CU,0.4028,UCL-MON,0.5903,JHU-MON,0.4707,JHU-ICL,0.4236,UCam-CMU,0.8399,UIUC-UEdin,0.854
UIUC-MIT,0.4579,NTU-JHU,0.3788,UIUC-JHU,0.4024,JHU-ICL,0.5875,JHU-CMU,0.4704,NTU-Oxon,0.4213,HKU-NTU,0.8392,UIUC-MIT,0.8539
UIUC-ICL,0.457,HKU-UCam,0.3767,MIT-UCL,0.3977,NTU-ICL,0.5848,NTU-UIUC,0.4699,CMU-MON,0.4192,CU-NTU,0.8375,UEdin-CMU,0.8535
UEdin-MIT,0.4565,MIT-NTU,0.3748,MIT-UEdin,0.3972,Oxon-CU,0.5817,JHU-UCL,0.4693,JHU-MIT,0.4182,UIUC-NTU,0.8365,CMU-NTU,0.8535
ICL-UEdin,0.4562,UEdin-CMU,0.3727,UIUC-CU,0.3955,HKU-NTU,0.5811,MON-UCL,0.4692,UCL-NTU,0.4158,MON-UCam,0.8338,UIUC-HKU,0.8532
Oxon-MIT,0.4543,UIUC-HKU,0.369,CMU-ICL,0.3948,NTU-JHU,0.5806,NTU-UCL,0.4678,UEdin-JHU,0.4144,JHU-UCL,0.8311,MON-Oxon,0.8528
ICL-MIT,0.4519,MON-UCam,0.3676,JHU-UCam,0.3934,UIUC-NTU,0.5767,Oxon-UIUC,0.4667,Oxon-UCam,0.4128,JHU-CU,0.8299,HKU-JHU,0.8525
MON-NTU,0.4496,UCL-NTU,0.3668,MIT-MON,0.3934,JHU-HKU,0.5761,MIT-NTU,0.4659,MON-MIT,0.4085,ICL-MIT,0.8295,UEdin-JHU,0.8525
MON-CU,0.4485,UIUC-UCL,0.3609,NTU-MIT,0.3933,MON-UCL,0.5747,UEdin-NTU,0.4659,JHU-MON,0.4082,Oxon-JHU,0.8291,UIUC-CU,0.8524
MON-Oxon,0.4463,MIT-JHU,0.3592,MIT-HKU,0.3933,CMU-ICL,0.5736,UEdin-UCL,0.4657,UIUC-CMU,0.4068,JHU-CMU,0.8289,CU-UCam,0.8522
UIUC-UCam,0.4426,JHU-MON,0.3589,UEdin-ICL,0.3929,UIUC-MON,0.571,UIUC-CMU,0.4645,ICL-UIUC,0.4051,MIT-JHU,0.8283,JHU-NTU,0.8522
NTU-UIUC,0.4421,UIUC-CU,0.3581,UEdin-Oxon,0.3926,CU-MON,0.5703,MON-JHU,0.4614,MIT-JHU,0.4033,MIT-Oxon,0.8274,UIUC-CMU,0.8517
MON-UCam,0.4404,CMU-UCam,0.357,UEdin-MIT,0.3914,Oxon-CMU,0.5702,HKU-UCam,0.4604,NTU-ICL,0.4029,UCam-MIT,0.827,Oxon-MIT,0.8516
Oxon-UCam,0.44,MON-NTU,0.3568,UIUC-CMU,0.3883,ICL-CMU,0.5672,MON-NTU,0.4594,NTU-UIUC,0.4017,Oxon-UCL,0.8268,Oxon-HKU,0.8516
UEdin-HKU,0.4378,UEdin-JHU,0.355,Oxon-UCam,0.3879,UEdin-NTU,0.5657,MON-ICL,0.4578,MON-ICL,0.4013,UCam-UCL,0.8247,UEdin-ICL,0.8516
