Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
YU-Oxon,0.4804,Oxon-NTU,0.4052,UWaterloo-NTU,0.4783,UCam-Oxon,0.6187,UCam-NTU,0.5416,JHU-HKU,0.4608,UCam-UEdin,0.8528,NTU-YU,0.8603
YU-JHU,0.4787,UIUC-UC,0.4050,UIUC-YU,0.4768,YU-UWaterloo,0.6172,UC-YU,0.5410,CU-YU,0.4567,UCam-NTU,0.8527,NTU-CU,0.8602
CU-YU,0.4781,JHU-CU,0.4047,YU-CMU,0.4761,JHU-Oxon,0.6169,UWaterloo-UC,0.5406,UCam-UWaterloo,0.4537,UCam-CU,0.8527,UCam-YU,0.8601
JHU-U of T,0.4777,UWaterloo-UC,0.4034,NTU-UEdin,0.4753,U of T-UWaterloo,0.6164,UCam-YU,0.5404,YU-CMU,0.4519,UC-UWaterloo,0.8521,YU-JHU,0.8594
YU-MON,0.4766,YU-CMU,0.3993,Oxon-UEdin,0.4734,UC-UIUC,0.6157,JHU-HKU,0.5392,U of T-UWaterloo,0.4516,CMU-CU,0.8518,NTU-MON,0.8586
YU-CMU,0.4748,NTU-UIUC,0.3982,UWaterloo-Oxon,0.4717,UCam-UIUC,0.6157,UWaterloo-JHU,0.5387,UWaterloo-CMU,0.4516,NTU-Oxon,0.8516,UCam-UIUC,0.8586
MON-UWaterloo,0.4744,UWaterloo-UIUC,0.3980,UCam-UC,0.4709,Oxon-UEdin,0.6151,UCam-UC,0.5376,UIUC-UWaterloo,0.4504,Oxon-UCam,0.8506,JHU-UEdin,0.8584
UWaterloo-UEdin,0.4741,UWaterloo-UCam,0.3973,U of T-NTU,0.4707,CMU-Oxon,0.6145,JHU-UIUC,0.5374,MON-UWaterloo,0.4499,HKU-UCam,0.8506,NTU-JHU,0.8582
UEdin-UWaterloo,0.4737,NTU-U of T,0.3962,HKU-UWaterloo,0.4705,Oxon-YU,0.6125,YU-UC,0.5354,JHU-NTU,0.4478,UCam-UIUC,0.8496,UEdin-JHU,0.8576
UWaterloo-NTU,0.4732,YU-UEdin,0.3939,JHU-UWaterloo,0.4697,U of T-NTU,0.6112,YU-UWaterloo,0.5354,UWaterloo-UEdin,0.4472,CMU-HKU,0.8494,CU-YU,0.8576
Oxon-JHU,0.4729,NTU-CU,0.3918,UIUC-UWaterloo,0.4695,JHU-UCam,0.6095,YU-CMU,0.5335,CU-UC,0.4461,UC-U of T,0.8490,YU-U of T,0.8575
UWaterloo-CMU,0.4722,UIUC-UWaterloo,0.3907,YU-UEdin,0.4664,CMU-CU,0.6075,UIUC-YU,0.5330,CU-UWaterloo,0.4457,Oxon-CU,0.8484,JHU-YU,0.8575
YU-UEdin,0.4696,UCam-UC,0.3904,UEdin-CMU,0.4658,Oxon-CMU,0.6064,JHU-UC,0.5315,UEdin-YU,0.4456,Oxon-U of T,0.8473,UEdin-HKU,0.8574
UEdin-YU,0.4681,CU-YU,0.3892,Oxon-U of T,0.4657,UCam-CU,0.6060,UEdin-HKU,0.5276,NTU-UCam,0.4453,UIUC-UCam,0.8472,UEdin-Oxon,0.8561
